"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"2. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 10460 10790 10623 10676 10249
"2. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 10415 10726 10574 10587 10189
"2. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 45 64 49 89 60
"2. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 31 20 20 22 17
"2. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" 31 20 20 22 17
"2. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"2. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" 9749 10017 9761 9650 9240
"2. razred" "Ženske" "7 let" "prviè vpisani v razred" 9748 10017 9761 9625 9240
"2. razred" "Ženske" "7 let" "ponavljavci" 1 - - 25 -
"2. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" 650 717 804 943 942
"2. razred" "Ženske" "8 let" "prviè vpisani v razred" 620 677 773 900 915
"2. razred" "Ženske" "8 let" "ponavljavci" 30 40 31 43 27
"2. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 27 30 35 56 38
"2. razred" "Ženske" "9 let" "prviè vpisani v razred" 15 12 20 40 13
"2. razred" "Ženske" "9 let" "ponavljavci" 12 18 15 16 25
"2. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" - 5 3 4 10
"2. razred" "Ženske" "10 let" "prviè vpisani v razred" - - - - 4
"2. razred" "Ženske" "10 let" "ponavljavci" - 5 3 4 6
"2. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 1 - - 1 1
"2. razred" "Ženske" "11 let" "prviè vpisani v razred" 1 - - - -
"2. razred" "Ženske" "11 let" "ponavljavci" - - - 1 1
"2. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 1 - - - 1
"2. razred" "Ženske" "12 let" "prviè vpisani v razred" - - - - -
"2. razred" "Ženske" "12 let" "ponavljavci" 1 - - - 1
"2. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" - 1 - - -
"2. razred" "Ženske" "13 let" "prviè vpisani v razred" - - - - -
"2. razred" "Ženske" "13 let" "ponavljavci" - 1 - - -
"2. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 1 - - - -
"2. razred" "Ženske" "14 let" "prviè vpisani v razred" - - - - -
"2. razred" "Ženske" "14 let" "ponavljavci" 1 - - - -
"2. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Ženske" "15 let" "prviè vpisani v razred" - - - - -
"2. razred" "Ženske" "15 let" "ponavljavci" - - - - -
"2. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - - -
"2. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"3. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 21780 21753 22428 22158 22077
"3. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 21597 21555 22221 21898 21966
"3. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 183 198 207 260 111
"3. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"3. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"3. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"3. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" 45 54 38 32 37
"3. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" 45 54 38 32 37
"3. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"3. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" 20065 19680 20048 19467 19410
"3. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" 20062 19680 20045 19421 19408
"3. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" 3 - 3 46 2
"3. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 1528 1873 2185 2443 2476
"3. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 1421 1749 2043 2324 2418
"3. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" 107 124 142 119 58
"3. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 103 109 125 170 124
"3. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 55 63 75 104 96
"3. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" 48 46 50 66 28
"3. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 24 20 19 29 21
"3. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 9 7 11 13 6
"3. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" 15 13 8 16 15
"3. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 6 9 8 8 5
"3. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 2 - 7 3 1
"3. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 4 9 1 5 4
"3. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 4 3 3 4 2
"3. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 2 - 1 - -
"3. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 2 3 2 4 2
"3. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 3 5 2 3 2
"3. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" - 2 1 - -
"3. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 3 3 1 3 2
"3. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 2 - - 1 -
"3. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 1 - - - -
"3. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 1 - - 1 -
"3. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - 1 -
"3. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" - - - 1 -
"3. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - - -
"3. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 11072 11242 11555 11450 11375
"3. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 10963 11125 11424 11292 11315
"3. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 109 117 131 158 60
"3. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"3. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"3. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"3. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" 18 19 16 13 12
"3. razred" "Moški" "7 let" "prviè vpisani v razred" 18 19 16 13 12
"3. razred" "Moški" "7 let" "ponavljavci" - - - - -
"3. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" 10005 9950 10044 9741 9742
"3. razred" "Moški" "8 let" "prviè vpisani v razred" 10003 9950 10043 9714 9741
"3. razred" "Moški" "8 let" "ponavljavci" 2 - 1 27 1
"3. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 956 1177 1400 1551 1530
"3. razred" "Moški" "9 let" "prviè vpisani v razred" 895 1109 1303 1487 1502
"3. razred" "Moški" "9 let" "ponavljavci" 61 68 97 64 28
"3. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 66 71 74 111 75
"3. razred" "Moški" "10 let" "prviè vpisani v razred" 37 41 48 66 58
"3. razred" "Moški" "10 let" "ponavljavci" 29 30 26 45 17
"3. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 17 12 10 20 9
"3. razred" "Moški" "11 let" "prviè vpisani v razred" 7 4 6 10 1
"3. razred" "Moški" "11 let" "ponavljavci" 10 8 4 10 8
"3. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 2 7 7 6 3
"3. razred" "Moški" "12 let" "prviè vpisani v razred" - - 7 2 1
"3. razred" "Moški" "12 let" "ponavljavci" 2 7 - 4 2
"3. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 4 1 3 4 2
"3. razred" "Moški" "13 let" "prviè vpisani v razred" 2 - 1 - -
"3. razred" "Moški" "13 let" "ponavljavci" 2 1 2 4 2
"3. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 2 5 1 3 2
"3. razred" "Moški" "14 let" "prviè vpisani v razred" - 2 - - -
"3. razred" "Moški" "14 let" "ponavljavci" 2 3 1 3 2
"3. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 2 - - 1 -
"3. razred" "Moški" "15 let" "prviè vpisani v razred" 1 - - - -
"3. razred" "Moški" "15 let" "ponavljavci" 1 - - 1 -
"3. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"3. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" - - - - -
"3. razred" "Moški" "16 let ali veè" "ponavljavci" - - - - -
"3. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 10708 10511 10873 10708 10702
"3. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 10634 10430 10797 10606 10651
"3. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 74 81 76 102 51
"3. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"3. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"3. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"3. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" 27 35 22 19 25
"3. razred" "Ženske" "7 let" "prviè vpisani v razred" 27 35 22 19 25
"3. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"3. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" 10060 9730 10004 9726 9668
"3. razred" "Ženske" "8 let" "prviè vpisani v razred" 10059 9730 10002 9707 9667
"3. razred" "Ženske" "8 let" "ponavljavci" 1 - 2 19 1
"3. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 572 696 785 892 946
"3. razred" "Ženske" "9 let" "prviè vpisani v razred" 526 640 740 837 916
"3. razred" "Ženske" "9 let" "ponavljavci" 46 56 45 55 30
"3. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" 37 38 51 59 49
"3. razred" "Ženske" "10 let" "prviè vpisani v razred" 18 22 27 38 38
"3. razred" "Ženske" "10 let" "ponavljavci" 19 16 24 21 11
"3. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 7 8 9 9 12
"3. razred" "Ženske" "11 let" "prviè vpisani v razred" 2 3 5 3 5
"3. razred" "Ženske" "11 let" "ponavljavci" 5 5 4 6 7
"3. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 4 2 1 2 2
"3. razred" "Ženske" "12 let" "prviè vpisani v razred" 2 - - 1 -
"3. razred" "Ženske" "12 let" "ponavljavci" 2 2 1 1 2
"3. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" - 2 - - -
"3. razred" "Ženske" "13 let" "prviè vpisani v razred" - - - - -
"3. razred" "Ženske" "13 let" "ponavljavci" - 2 - - -
"3. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 1 - 1 - -
"3. razred" "Ženske" "14 let" "prviè vpisani v razred" - - 1 - -
"3. razred" "Ženske" "14 let" "ponavljavci" 1 - - - -
"3. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"3. razred" "Ženske" "15 let" "prviè vpisani v razred" - - - - -
"3. razred" "Ženske" "15 let" "ponavljavci" - - - - -
"3. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - 1 -
"3. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - 1 -
"3. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"4. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 20199 21851 21802 22581 22138
"4. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 20048 21695 21656 22342 22065
"4. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 151 156 146 239 73
"4. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"4. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"4. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - 2 - -
"4. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - 2 - -
"4. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"4. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" 57 48 55 39 36
"4. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" 57 48 54 39 36
"4. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - 1 - -
"4. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 18572 20022 19606 19998 19455
"4. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 18571 20021 19606 19947 19453
"4. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" 1 1 - 51 2
"4. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 1398 1619 1960 2324 2448
"4. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 1331 1528 1870 2209 2414
"4. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" 67 91 90 115 34
"4. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 137 115 139 181 158
"4. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 81 79 102 129 130
"4. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" 56 36 37 52 28
"4. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 19 34 25 25 26
"4. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 6 16 14 15 23
"4. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 13 18 11 10 3
"4. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 11 5 11 8 12
"4. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 1 2 6 3 7
"4. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 10 3 5 5 5
"4. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 3 8 3 5 3
"4. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 1 1 2 - 2
"4. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 2 7 1 5 1
"4. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 2 - 1 1 -
"4. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" - - - - -
"4. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 2 - 1 1 -
"4. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" - - - - -
"4. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - - -
"4. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 10389 11068 11256 11626 11435
"4. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 10298 10976 11164 11473 11388
"4. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 91 92 92 153 47
"4. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"4. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"4. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - 1 - -
"4. razred" "Moški" "7 let" "prviè vpisani v razred" - - 1 - -
"4. razred" "Moški" "7 let" "ponavljavci" - - - - -
"4. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" 23 20 21 17 16
"4. razred" "Moški" "8 let" "prviè vpisani v razred" 23 20 21 17 16
"4. razred" "Moški" "8 let" "ponavljavci" - - - - -
"4. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 9361 9956 9887 10013 9738
"4. razred" "Moški" "9 let" "prviè vpisani v razred" 9361 9955 9887 9985 9738
"4. razred" "Moški" "9 let" "ponavljavci" - 1 - 28 -
"4. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 905 1001 1230 1461 1542
"4. razred" "Moški" "10 let" "prviè vpisani v razred" 864 946 1174 1388 1521
"4. razred" "Moški" "10 let" "ponavljavci" 41 55 56 73 21
"4. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 84 71 95 114 107
"4. razred" "Moški" "11 let" "prviè vpisani v razred" 49 47 69 74 89
"4. razred" "Moški" "11 let" "ponavljavci" 35 24 26 40 18
"4. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 8 16 17 13 20
"4. razred" "Moški" "12 let" "prviè vpisani v razred" - 8 8 7 17
"4. razred" "Moški" "12 let" "ponavljavci" 8 8 9 6 3
"4. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 6 1 5 6 9
"4. razred" "Moški" "13 let" "prviè vpisani v razred" 1 - 4 2 5
"4. razred" "Moški" "13 let" "ponavljavci" 5 1 1 4 4
"4. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 1 3 - 2 3
"4. razred" "Moški" "14 let" "prviè vpisani v razred" - - - - 2
"4. razred" "Moški" "14 let" "ponavljavci" 1 3 - 2 1
"4. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 1 - - - -
"4. razred" "Moški" "15 let" "prviè vpisani v razred" - - - - -
"4. razred" "Moški" "15 let" "ponavljavci" 1 - - - -
"4. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" - - - - -
"4. razred" "Moški" "16 let ali veè" "ponavljavci" - - - - -
"4. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 9810 10783 10546 10955 10703
"4. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 9750 10719 10492 10869 10677
"4. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 60 64 54 86 26
"4. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"4. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"4. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - 1 - -
"4. razred" "Ženske" "7 let" "prviè vpisani v razred" - - 1 - -
"4. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"4. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" 34 28 34 22 20
"4. razred" "Ženske" "8 let" "prviè vpisani v razred" 34 28 33 22 20
"4. razred" "Ženske" "8 let" "ponavljavci" - - 1 - -
"4. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 9211 10066 9719 9985 9717
"4. razred" "Ženske" "9 let" "prviè vpisani v razred" 9210 10066 9719 9962 9715
"4. razred" "Ženske" "9 let" "ponavljavci" 1 - - 23 2
"4. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" 493 618 730 863 906
"4. razred" "Ženske" "10 let" "prviè vpisani v razred" 467 582 696 821 893
"4. razred" "Ženske" "10 let" "ponavljavci" 26 36 34 42 13
"4. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 53 44 44 67 51
"4. razred" "Ženske" "11 let" "prviè vpisani v razred" 32 32 33 55 41
"4. razred" "Ženske" "11 let" "ponavljavci" 21 12 11 12 10
"4. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 11 18 8 12 6
"4. razred" "Ženske" "12 let" "prviè vpisani v razred" 6 8 6 8 6
"4. razred" "Ženske" "12 let" "ponavljavci" 5 10 2 4 -
"4. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 5 4 6 2 3
"4. razred" "Ženske" "13 let" "prviè vpisani v razred" - 2 2 1 2
"4. razred" "Ženske" "13 let" "ponavljavci" 5 2 4 1 1
"4. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 2 5 3 3 -
"4. razred" "Ženske" "14 let" "prviè vpisani v razred" 1 1 2 - -
"4. razred" "Ženske" "14 let" "ponavljavci" 1 4 1 3 -
"4. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 1 - 1 1 -
"4. razred" "Ženske" "15 let" "prviè vpisani v razred" - - - - -
"4. razred" "Ženske" "15 let" "ponavljavci" 1 - 1 1 -
"4. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"4. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - - -
"4. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"5. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 19303 20248 21978 21993 22604
"5. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 19151 20090 21794 21735 22523
"5. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 152 158 184 258 81
"5. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"5. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"5. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - - - -
"5. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"5. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" - 1 - 3 -
"5. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" - 1 - 3 -
"5. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - - - -
"5. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 61 65 50 57 43
"5. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 61 65 50 57 43
"5. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" - - - - -
"5. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 17692 18496 19971 19547 20034
"5. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 17689 18496 19971 19502 20034
"5. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" 3 - - 45 -
"5. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 1369 1480 1747 2118 2308
"5. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 1285 1394 1638 2005 2277
"5. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" 84 86 109 113 31
"5. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 128 161 143 201 175
"5. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 92 118 105 140 145
"5. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 36 43 38 61 30
"5. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 33 30 53 39 27
"5. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 15 12 26 20 16
"5. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 18 18 27 19 11
"5. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 17 13 13 28 13
"5. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 9 4 4 8 6
"5. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 8 9 9 20 7
"5. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 3 2 1 - 4
"5. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" - - - - 2
"5. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 3 2 1 - 2
"5. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" - - - - -
"5. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - - -
"5. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 9882 10421 11127 11352 11630
"5. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 9790 10316 11011 11189 11580
"5. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 92 105 116 163 50
"5. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"5. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"5. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Moški" "7 let" "prviè vpisani v razred" - - - - -
"5. razred" "Moški" "7 let" "ponavljavci" - - - - -
"5. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" - 1 - 1 -
"5. razred" "Moški" "8 let" "prviè vpisani v razred" - 1 - 1 -
"5. razred" "Moški" "8 let" "ponavljavci" - - - - -
"5. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 25 28 21 22 19
"5. razred" "Moški" "9 let" "prviè vpisani v razred" 25 28 21 22 19
"5. razred" "Moški" "9 let" "ponavljavci" - - - - -
"5. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 8903 9302 9910 9840 10028
"5. razred" "Moški" "10 let" "prviè vpisani v razred" 8902 9302 9910 9811 10028
"5. razred" "Moški" "10 let" "ponavljavci" 1 - - 29 -
"5. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 845 963 1071 1317 1450
"5. razred" "Moški" "11 let" "prviè vpisani v razred" 791 902 1000 1248 1431
"5. razred" "Moški" "11 let" "ponavljavci" 54 61 71 69 19
"5. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 81 106 92 135 110
"5. razred" "Moški" "12 let" "prviè vpisani v razred" 59 75 67 91 91
"5. razred" "Moški" "12 let" "ponavljavci" 22 31 25 44 19
"5. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 16 14 30 26 11
"5. razred" "Moški" "13 let" "prviè vpisani v razred" 8 5 12 13 6
"5. razred" "Moški" "13 let" "ponavljavci" 8 9 18 13 5
"5. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 9 6 2 11 9
"5. razred" "Moški" "14 let" "prviè vpisani v razred" 5 3 1 3 4
"5. razred" "Moški" "14 let" "ponavljavci" 4 3 1 8 5
"5. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 3 1 1 - 3
"5. razred" "Moški" "15 let" "prviè vpisani v razred" - - - - 1
