"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"Razred - SKUPAJ" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 9462 9962 10459 11352 11438
"Razred - SKUPAJ" "Moški" "11 let" "prviè vpisani v razred" 9362 9864 10355 11209 11390
"Razred - SKUPAJ" "Moški" "11 let" "ponavljavci" 100 98 104 143 48
"Razred - SKUPAJ" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 9233 9506 10003 10528 11327
"Razred - SKUPAJ" "Moški" "12 let" "prviè vpisani v razred" 9062 9325 9804 10267 11274
"Razred - SKUPAJ" "Moški" "12 let" "ponavljavci" 171 181 199 261 53
"Razred - SKUPAJ" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 9016 9279 9572 10072 10545
"Razred - SKUPAJ" "Moški" "13 let" "prviè vpisani v razred" 8861 9147 9412 9884 10472
"Razred - SKUPAJ" "Moški" "13 let" "ponavljavci" 155 132 160 188 73
"Razred - SKUPAJ" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 9178 9013 9289 9606 10020
"Razred - SKUPAJ" "Moški" "14 let" "prviè vpisani v razred" 8978 8811 9069 9357 9934
"Razred - SKUPAJ" "Moški" "14 let" "ponavljavci" 200 202 220 249 86
"Razred - SKUPAJ" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 937 908 965 1068 1170
"Razred - SKUPAJ" "Moški" "15 let" "prviè vpisani v razred" 880 854 927 1014 1142
"Razred - SKUPAJ" "Moški" "15 let" "ponavljavci" 57 54 38 54 28
"Razred - SKUPAJ" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 74 96 78 87 95
"Razred - SKUPAJ" "Moški" "16 let ali veè" "prviè vpisani v razred" 64 86 72 81 93
"Razred - SKUPAJ" "Moški" "16 let ali veè" "ponavljavci" 10 10 6 6 2
"Razred - SKUPAJ" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 86041 88226 90672 92465 94017
"Razred - SKUPAJ" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 85512 87649 90085 91597 93675
"Razred - SKUPAJ" "Ženske" "Starost - SKUPAJ" "ponavljavci" 529 577 587 868 342
"Razred - SKUPAJ" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 10127 9820 9737 9316 9417
