"VRSTA IZOBRAŽEVANJA,""PODROÈJE IZOBRAŽEVANJA"",""2015/16 Moški"",""2015/16 Ženske"",""2016/17 Moški"",""2016/17 Ženske"",""2017/18 Moški"",""2017/18 Ženske"",""2018/19 Moški"",""2018/19 Ženske"",""2019/20 Moški"",""2019/20 Ženske"""
"Vrsta programa - SKUPAJ,""Podroèje izobraževanja - SKUPAJ"",9017,8625,9048,8482,8667,8421,8857,8511,9008,8480"
"Vrsta programa - SKUPAJ,""Osnovne in splošne izobraževalne aktivnosti/izidi"",2611,3840,2346,3560,2271,3618,2290,3616,2194,3611"
"Vrsta programa - SKUPAJ,""Izobraževalne znanosti in izobraževanje uèiteljev"",52,535,71,564,56,586,85,616,73,633"
"Vrsta programa - SKUPAJ,""Umetnost in humanistika"",206,341,223,365,198,370,200,366,208,392"
"Vrsta programa - SKUPAJ,""Poslovne in upravne vede, pravo"",476,1052,475,902,424,815,463,876,473,783"
"Vrsta programa - SKUPAJ,""Naravoslovje, matematika in statistika"",37,52,46,51,39,52,47,57,26,45"
"Vrsta programa - SKUPAJ,""Informacijske in komunikacijske tehnologije (IKT)"",601,24,565,18,619,24,616,23,633,23"
"Vrsta programa - SKUPAJ,""Tehnika, proizvodne tehnologije in gradbeništvo"",3657,367,3881,444,3779,472,3920,446,4115,575"
"Vrsta programa - SKUPAJ,""Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo"",306,322,385,372,328,365,359,367,359,391"
"Vrsta programa - SKUPAJ,""Zdravstvo in socialna varnost"",409,1090,411,1072,341,1016,323,1074,353,1007"
"Vrsta programa - SKUPAJ,""Transport, varnost, gostinstvo in turizem, osebne storitve"",662,1002,645,1134,612,1103,554,1070,574,1020"
